"id";"артикул";"Наименование";"Товар";"Фабрика";"Коллекция";"Тип";"Размер";"Ширина";"Длина";"Вес";"Шт";"М2";"ЕдИзм";"Линк";"Неликвид";"Цена1";"Цена2";"Цена3";"Цена4";"Цена5";"Цена6";"Цена7";"Цена8";"Цена9";"Цена10";"Цена11";"Акция";"Распродажа";"Новинка";"Материал";"Стиль";"Поверхность";"Назначение";"Цвет"
"318001";"+15428";"декор, Coffee Decos (set 4 pcs), 4*15x15";"+15428 Декор керамич. COFFEE DECOS (SET 4 PCS), 4*15x15";"Amadis Fine Tiles";"Coffee";"декор";"4*15x15";"4";"15";"4,8";"3";"0,27";"шт";;"0";"2105,6";"1700,12";"2598,4";"1357,36";"1500,24";"1428,8";"1400,68";"1357,36";"1329,24";"1300,36";"1428,8";"1";"0";"0";"Керамическая плитка";;;;
"318006";"+15433";"плитка, Chocolate (7,5), 7,5x15";"+15433 Плитка облиц. керамич. CHOCOLATE (7,5), 7,5x15";"Amadis Fine Tiles";"Coffee";"плитка";"7,5x15";"7,5";"15";"14";"70";"0,7875";"м2";;"0";"3136";"2532,32";"4211,2";"2021,6";"2234,4";"2128";"2085,44";"2021,6";"1979,04";"1936,48";"2128";"1";"0";"0";"Керамическая плитка";;;;
"320093";"+16692";"декор, Flowers 1,2 Deco (Set1), 2x15x15";"+16692 Декор керамич. FLOWERS 1,2 DECO (SET1), 2x15x15";"Amadis Fine Tiles";"Coffee";"декор";"2x15x15";"2";"15";"4,8";"6";"0,27";"шт";;"0";"1668,8";"1347,48";"1668,8";"1076,16";"1189,4";"1132,4";"1110,36";"1076,16";"1053,36";"1030,56";"1132,4";"1";"0";"0";"Керамическая плитка";;;;
"320094";"+16693";"декор, Flowers 3,4 Deco (Set2), 2x15x15";"+16693 Декор керамич. FLOWERS 3,4 DECO (SET2), 2x15x15";"Amadis Fine Tiles";"Coffee";"декор";"2x15x15";"2";"15";"4,8";"6";"0,27";"шт";;"0";"1668,8";"1347,48";"1668,8";"1076,16";"1189,4";"1132,4";"1110,36";"1076,16";"1053,36";"1030,56";"1132,4";"1";"0";"0";"Керамическая плитка";;;;
"317996";"+15426";"панно, Teapot Pictures, 30x45";"+15426 Панно керамич. TEAPOT PICTURES, 30x45";"Amadis Fine Tiles";"Teapot";"панно";"30x45";"30";"45";"1";"1";"0,135";"шт";;"0";"2912";"2351,44";"4860,8";"1877,2";"2074,8";"1976";"1936,48";"1877,2";"1837,68";"1798,16";"1976";"1";"0";"0";"Керамическая плитка";;;;
"317997";"+15427";"декор, Mesh Border, 15x15";"+15427 Декор керамич. MESH BORDER, 15x15";"Amadis Fine Tiles";"Teapot";"декор";"15x15";"15";"15";"4,8";"12";"0,27";"шт";;"0";"414,4";"334,4";"806,4";"267,52";"295,64";"281,2";"275,88";"267,52";"262,2";"256,12";"281,2";"1";"0";"0";"Керамическая плитка";;;;
"318004";"+15431";"плитка, Blanco (15), 15x15";"+15431 Плитка облиц. керамич. BLANCO (15), 15x15";"Amadis Fine Tiles";"Teapot";"плитка";"15x15";"15";"15";"14";"35";"0,7875";"м2";;"0";"2576";"2080,12";"3539,2";"1660,6";"1835,4";"1748";"1713,04";"1660,6";"1625,64";"1590,68";"1748";"1";"0";"0";"Керамическая плитка";;;;
"318005";"+15432";"плитка, Blanco (7,5), 7,5x15";"+15432 Плитка облиц. керамич. BLANCO (7,5), 7,5x15";"Amadis Fine Tiles";"Teapot";"плитка";"7,5x15";"7,5";"15";"14";"70";"0,7875";"м2";;"0";"3382,4";"2731,44";"3998,4";"2180,44";"2409,96";"2295,2";"2249,6";"2180,44";"2134,84";"2089,24";"2295,2";"1";"0";"0";"Керамическая плитка";;;;
"318002";"+15429";"декор, Wine Label Decos (set 4 pcs), 4*15x15";"+15429 Декор керамич. WINE LABEL DECOS (SET 4 PCS), 4*15x15";"Amadis Fine Tiles";"Wine";"декор";"4*15x15";"4";"15";"4,8";"3";"0,27";"шт";;"0";"2598,4";"2098,36";"2598,4";"1675,04";"1851,36";"1763,2";"1728,24";"1675,04";"1640,08";"1605,12";"1763,2";"0";"0";"0";"Керамическая плитка";;;;
"318003";"+15430";"панно, Wine Pictures, 30x45";"+15430 Панно керамич. WINE PICTURES, 30x45";"Amadis Fine Tiles";"Wine";"панно";"30x45";"30";"45";"1";"1";"0,135";"шт";;"0";"3886,4";"3138,04";"3886,4";"2505,72";"2769,44";"2637,2";"2584,76";"2505,72";"2453,28";"2400,08";"2637,2";"0";"0";"0";"Керамическая плитка";;;;
"318007";"+15434";"плитка, Crema (15), 15x15";"+15434 Плитка облиц. керамич. CREMA (15), 15x15";"Amadis Fine Tiles";"Wine";"плитка";"15x15";"15";"15";"14";"35";"0,7875";"м2";;"0";"3236,8";"2613,64";"3236,8";"2086,96";"2306,6";"2196,4";"2153,08";"2086,96";"2042,88";"1998,8";"2196,4";"0";"0";"0";"Керамическая плитка";;;;
"318008";"+15436";"плитка, Crema (7,5), 7,5x15";"+15436 Плитка облиц. керамич. CREMA (7,5), 7,5x15";"Amadis Fine Tiles";"Wine";"плитка";"7,5x15";"7,5";"15";"14";"70";"0,7875";"м2";;"0";"3136";"2532,32";"3136";"2021,6";"2234,4";"2128";"2085,44";"2021,6";"1979,04";"1936,48";"2128";"0";"0";"0";"Керамическая плитка";;;;
"303930";"+7052";"пол, Abitare, 44,63x44,63";"+7052 Плитка нап. керамич. ABITARE, 44,63x44,63";"Aparici";"Abitare";"пол";"44,63x44,63";"44,63";"44,63";"21,85";"5";"0,996";"м2";;"1";"3360";"3192";"3360";"2660";"3192";"2660";"2660";"2660";"2660";"2660";"2660";"0";"1";"0";"Керамическая плитка";;;;
"310527";"+10713";"обл, Absolut Ivory, 31,6x75,6";"+10713 Плитка облиц. керамич. ABSOLUT IVORY, 31,6x75,6";"Aparici";"Absolut";"обл";"31,6x75,6";"31,6";"75,6";"27,947";"6";"1,43";"м2";;"0";"3136";"2532,32";"3136";"2021,6";"2234,4";"2128";"2085,44";"2021,6";"1979,04";"1936,48";"2128";"0";"0";"0";"Керамическая плитка";"Обои";"матовая";"Плитка для ванной";"бежевый"
