Амурская логистическая компания, ООО;Междугородные автогрузоперевозки;+7(4162) 57-05-08,+7(4162) 52-77-35;http://alk-dv.ru;logistic@alk-dv.ru;Лазо, 2;Железнодорожные грузоперевозки | Междугородные автогрузоперевозки | Авиагрузоперевозки;
28 Регион-город Благовещенск, коллегия адвокатов;Юридическое обслуживание;+7(4162) 54-01-01,+7(4162) 34-24-00;http://advokat28.ru;adv-28@mail.ru;Горького, 118;Юридическое обслуживание | Ведение дел в судах;
Военный госпиталь Благовещенского гарнизона;Госпитали;+7(4162) 52-76-70,+7(4162) 51-81-87,+7(4162) 52-52-09;;;Ленина, 172;Госпитали;
Четыре сезона, кровельно-фасадный сервисный центр, ООО АРМ-Строй;Цемент;+7(4162) 21-04-04,+7(4162) 53-04-04,+7(4162) 21-99-11;http://four-season.ru;info@four-season.ru;Шевченко, 134;Магазины строительных материалов | Кровельные материалы | Фасадные материалы \ конструкции | Теплоизоляционные материалы | Гидроизоляционные материалы;
4Life research, торговая компания;Биологически активные добавки (БАД);8-962-295-89-58;http://4life.com;;50 лет Октября, 15;Биологически активные добавки (БАД);
5 канал, телерадиокомпания;Теле- / радиокомпании;+7(4162) 53-00-46;;5_tv@inbox.ru;Кузнечная, 1;Теле- \ радиокомпании;
5 комнат, отель;Гостиницы;+7(4162) 33-91-13;оставил контакт;frozerius@mail.ru;Горького, 112;Гостиницы;
5 континентов, развлекательный центр;Кафе / рестораны быстрого питания;+7(4162) 22-03-03;http://5kontinentov.com;cont5@mail.ru;50 лет Октября, 61;Кафе \ рестораны быстрого питания | Бары | Боулинг | Бильярдные залы;
50\50, ночной клуб;Ночные клубы;+7(4162) 52-50-50;;;Горького, 129;Ночные клубы;
60-е, кафе;Кафе;+7(4162) 51-44-10;;;Калинина, 8;Кафе;
76 Экспресс, СТО;Шиномонтаж;+7(4162) 58-48-76;http://76amur.ru;info@76amur.ru;Магистральная, 30;Аппаратная замена масла | Шиномонтаж;
A kildare pub, паб;Бары;+7(4162) 51-88-26;;akildarepub@mail.ru;Горького, 112;Бары;
A, Key, парикмахерская;Парикмахерские;+7(4162) 52-63-02;;;Калинина, 103;Парикмахерские | Ногтевые студии;
Academie, салон красоты;Косметические услуги;+7(4162) 25-25-42;;;50 лет Октября, 13\1;Косметические услуги;
Accessorize for you, магазин бижутерии;Бижутерия;+7(4162) 53-23-70;;;50 лет Октября, 61;Бижутерия;
Adidas, магазин спортивной одежды и обуви;Спортивная одежда / обувь;+7(4162) 22-03-55;http://adidas.ru;;50 лет Октября, 61;Спортивная одежда \ обувь;
Alberto Fabiani, салон одежды из кожи и меха;Меха / Дублёнки / Кожа;+7(4162) 23-02-13;;;Островского, 56\2;Меха \ Дублёнки \ Кожа;
Альтера Лингва, языковая школа;Школы иностранных языков;+7(4162) 59-11-74;http://altera-lingua.ru;;Красноармейская, 124;Школы иностранных языков;
Amsteel, торгово-производственная компания, ООО СтальСтройКомплект;Жалюзи / Рольставни;+7(4162) 52-76-97,+7(4162) 59-22-28;http://amsteelssk.ru;sskamur@yandex.ru;Горького, 240\3;Входные двери | Автоматические ворота \ двери | Детское игровое оборудование \ Аксессуары | Жалюзи \ Рольставни;
Amur.net, информационно-развлекательный портал, Отдел продаж;Городские информационные сайты;+7(4162) 319-002,+7(4162) 319-003;http://amur.net;redactor@amur.net;Зейская, 136;Городские информационные сайты;
